谱信息：
开始时间,20:09:27
测量时间,85.239
死时间,1.003
总计数,250877
通道1道址,通道1计数,通道2道址,通道2计数
1211,10,1211,10
1212,6,1212,6
1213,3,1213,3
1214,7,1214,7
1215,10,1215,10
1216,11,1216,11
1217,3,1217,3
1218,7,1218,7
1219,11,1219,11
1220,5,1220,5
1221,10,1221,10
1222,7,1222,7
1223,6,1223,6
1224,3,1224,3
1225,5,1225,5
1226,10,1226,10
1227,4,1227,4
1228,9,1228,9
1229,7,1229,7
1230,3,1230,3
1231,6,1231,6
1232,4,1232,4
1233,5,1233,5
1234,4,1234,4
1235,2,1235,2
1236,6,1236,6
1237,7,1237,7
1238,8,1238,8
1239,5,1239,5
1240,4,1240,4
1241,9,1241,9
1242,5,1242,5
1243,11,1243,11
1244,8,1244,8
1245,4,1245,4
1246,9,1246,9
1247,7,1247,7
1248,7,1248,7
1249,4,1249,4
1250,6,1250,6
1251,8,1251,8
1252,4,1252,4
1253,9,1253,9
1254,7,1254,7
1255,8,1255,8
1256,2,1256,2
1257,5,1257,5
1258,6,1258,6
1259,5,1259,5
1260,4,1260,4
1261,12,1261,12
1262,11,1262,11
1263,4,1263,4
1264,7,1264,7
1265,6,1265,6
1266,5,1266,5
1267,7,1267,7
1268,7,1268,7
1269,5,1269,5
1270,10,1270,10
1271,8,1271,8
1272,3,1272,3
1273,5,1273,5
1274,4,1274,4
1275,7,1275,7
1276,5,1276,5
1277,10,1277,10
1278,7,1278,7
1279,7,1279,7
1280,10,1280,10
1281,10,1281,10
1282,6,1282,6
1283,6,1283,6
1284,8,1284,8
1285,6,1285,6
1286,2,1286,2
1287,11,1287,11
1288,4,1288,4
1289,5,1289,5
1290,4,1290,4
1291,8,1291,8
1292,5,1292,5
1293,10,1293,10
1294,4,1294,4
1295,4,1295,4
1296,10,1296,10
1297,1,1297,1
1298,6,1298,6
1299,5,1299,5
1300,4,1300,4
1301,4,1301,4
1302,6,1302,6
1303,10,1303,10
1304,7,1304,7
1305,7,1305,7
1306,8,1306,8
1307,5,1307,5
1308,5,1308,5
1309,6,1309,6
1310,5,1310,5
1311,4,1311,4
1312,8,1312,8
1313,6,1313,6
1314,2,1314,2
1315,3,1315,3
1316,8,1316,8
1317,6,1317,6
1318,4,1318,4
1319,7,1319,7
1320,5,1320,5
1321,5,1321,5
1322,5,1322,5
1323,5,1323,5
1324,6,1324,6
1325,7,1325,7
1326,5,1326,5
1327,9,1327,9
1328,8,1328,8
1329,6,1329,6
1330,7,1330,7
1331,5,1331,5
1332,5,1332,5
1333,3,1333,3
1334,8,1334,8
1335,6,1335,6
1336,3,1336,3
1337,7,1337,7
1338,7,1338,7
1339,4,1339,4
1340,4,1340,4
1341,5,1341,5
1342,10,1342,10
1343,6,1343,6
1344,4,1344,4
1345,4,1345,4
1346,9,1346,9
1347,5,1347,5
1348,6,1348,6
1349,9,1349,9
1350,4,1350,4
1351,3,1351,3
1352,5,1352,5
1353,5,1353,5
1354,4,1354,4
1355,2,1355,2
1356,5,1356,5
1357,5,1357,5
1358,8,1358,8
1359,10,1359,10
1360,5,1360,5
1361,4,1361,4
1362,9,1362,9
1363,4,1363,4
1364,8,1364,8
1365,7,1365,7
1366,2,1366,2
1367,8,1367,8
1368,8,1368,8
1369,6,1369,6
1370,6,1370,6
1371,5,1371,5
1372,4,1372,4
1373,4,1373,4
1374,1,1374,1
1375,8,1375,8
1376,5,1376,5
1377,7,1377,7
1378,8,1378,8
1379,7,1379,7
1380,6,1380,6
1381,13,1381,13
1382,8,1382,8
1383,5,1383,5
1384,12,1384,12
1385,6,1385,6
1386,9,1386,9
1387,8,1387,8
1388,7,1388,7
1389,7,1389,7
1390,7,1390,7
1391,8,1391,8
1392,8,1392,8
1393,8,1393,8
1394,6,1394,6
1395,13,1395,13
1396,7,1396,7
1397,2,1397,2
1398,10,1398,10
1399,7,1399,7
1400,10,1400,10
1401,8,1401,8
1402,6,1402,6
1403,6,1403,6
1404,7,1404,7
1405,8,1405,8
1406,6,1406,6
1407,8,1407,8
1408,8,1408,8
1409,7,1409,7
1410,4,1410,4
1411,8,1411,8
1412,6,1412,6
1413,5,1413,5
1414,7,1414,7
1415,6,1415,6
1416,6,1416,6
1417,6,1417,6
1418,7,1418,7
1419,3,1419,3
1420,2,1420,2
1421,5,1421,5
1422,5,1422,5
1423,5,1423,5
1424,9,1424,9
1425,3,1425,3
1426,7,1426,7
1427,3,1427,3
1428,4,1428,4
1429,4,1429,4
1430,4,1430,4
1431,3,1431,3
1432,5,1432,5
1433,6,1433,6
1434,8,1434,8
1435,5,1435,5
1436,6,1436,6
1437,4,1437,4
1438,6,1438,6
1439,9,1439,9
1440,12,1440,12
1441,4,1441,4
1442,2,1442,2
1443,5,1443,5
1444,8,1444,8
1445,5,1445,5
1446,8,1446,8
1447,8,1447,8
1448,4,1448,4
1449,6,1449,6
1450,8,1450,8
1451,8,1451,8
1452,4,1452,4
1453,1,1453,1
1454,10,1454,10
1455,2,1455,2
1456,8,1456,8
1457,7,1457,7
1458,5,1458,5
1459,7,1459,7
1460,8,1460,8
1461,7,1461,7
1462,5,1462,5
1463,5,1463,5
1464,4,1464,4
1465,9,1465,9
1466,6,1466,6
1467,5,1467,5
1468,4,1468,4
1469,7,1469,7
1470,7,1470,7
1471,3,1471,3
1472,9,1472,9
1473,6,1473,6
1474,3,1474,3
1475,4,1475,4
1476,7,1476,7
1477,5,1477,5
1478,7,1478,7
1479,3,1479,3
1480,3,1480,3
1481,5,1481,5
1482,5,1482,5
1483,6,1483,6
1484,5,1484,5
1485,5,1485,5
1486,4,1486,4
1487,5,1487,5
1488,2,1488,2
1489,8,1489,8
1490,6,1490,6
1491,4,1491,4
1492,3,1492,3
1493,5,1493,5
1494,7,1494,7
1495,5,1495,5
1496,6,1496,6
1497,5,1497,5
1498,7,1498,7
1499,4,1499,4
1500,8,1500,8
1501,5,1501,5
1502,6,1502,6
1503,4,1503,4
1504,1,1504,1
1505,8,1505,8
1506,6,1506,6
1507,9,1507,9
1508,7,1508,7
1509,6,1509,6
1510,9,1510,9
1511,4,1511,4
1512,8,1512,8
1513,11,1513,11
1514,4,1514,4
1515,7,1515,7
1516,3,1516,3
1517,7,1517,7
1518,6,1518,6
1519,5,1519,5
1520,4,1520,4
1521,7,1521,7
1522,6,1522,6
1523,9,1523,9
1524,3,1524,3
1525,9,1525,9
1526,2,1526,2
1527,4,1527,4
1528,6,1528,6
1529,7,1529,7
1530,9,1530,9
1531,10,1531,10
1532,6,1532,6
1533,6,1533,6
1534,9,1534,9
1535,9,1535,9
1536,10,1536,10
1537,5,1537,5
1538,8,1538,8
1539,11,1539,11
1540,8,1540,8
1541,8,1541,8
1542,4,1542,4
1543,4,1543,4
1544,5,1544,5
1545,3,1545,3
1546,7,1546,7
1547,6,1547,6
1548,2,1548,2
1549,3,1549,3
1550,7,1550,7
1551,10,1551,10
1552,7,1552,7
1553,4,1553,4
1554,9,1554,9
1555,6,1555,6
1556,7,1556,7
1557,6,1557,6
1558,4,1558,4
1559,5,1559,5
1560,7,1560,7
1561,8,1561,8
1562,2,1562,2
1563,4,1563,4
1564,5,1564,5
1565,6,1565,6
1566,10,1566,10
